Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NEIX;Eierberge-Tunnel Tbv;Eierberge Tbv;Tbv;Planung; ;0080;7;20131116;;108984;N;N;
NEK;Emskirchen;Emskirchen;Bf;;DE 12886;0080;7;20081214;;224998;J;N;
NEL;Ellingen (Bay);Ellingen (Bay);Hp;;DE 12824;0080;7;20081214;;224030;J;N;
NELF;Elfershausen-Trimberg;Elfershs-Trimbg;Bf;;DE 12818;0080;7;20081214;;225532;J;N;
NELN;Eslarn;Eslarn;Bf;ehemals;DE 13027;0080;7;20040406;;261354;N;N;
NELS;Elsendorf;Elsendorf;vp-Anst;;DE 12836;0080;7;20081219;;221259;J;N;
NEM;Eußenheim;Eußenheim;Bf;;DE 13113;0080;7;20081214;;225698;J;N;
NEMN;Eckersmühlen;Eckersmühlen;Hp;;DE 12679;0080;7;20081214;;223834;J;N;
NEN;Eßleben;Eßleben;Hp;;DE 13083;0080;7;20081214;;224758;J;N;
NENG;Eging;Eging;Bf;a.B.;DE 12717;0080;7;20090127;;265538;N;N;
NENK;Obernburg-Elsenfeld Enka-Glanzstoff;Obernburg-E E-G;Anst;;DE 17987;0080;5;20080424;;314856;N;N;
NEO;Eggolsheim;Eggolsheim;Bf;;DE 12715;0080;7;20081214;;221317;J;N;
NEOS;Eggolsheim Süd;Eggolsheim Süd;Bf;Planung;DE 12716;0080;7;20100116;;107292;N;N;
NER;Erlangen;Erlangen;Bf;;DE 12973;0080;7;20081214;;221630;J;N;
NER B;Erlangen Busbahnhof Parkplatzstraße;Erlangen Busbf P;Bush;; ;0080;;20150707;;;N;N;
NER G;Erlangen Gbf;Erlangen Gbf;Bft;;DE 12974;0080;7;20081214;;909299;J;N;
NERB;Erlangen-Bruck;Erlangen-Bruck;Bft;;DE 12976;0080;7;20081214;;221648;J;N;
NERH;Erlangen-Bruck Hp;Erl-Bruck Hp;Hp;;DE 12977;0080;7;20141201;;108802;J;N;
NERK;Erkersreuth;Erkersreuth;Hp;;DE 12966;0080;7;20081214;;260422;J;N;
NERL;Erlenbach am Main;Erlenbach (M);Hp;;DE 12982;0080;5;20091213;;226373;J;N;
NERM;Ermetzhofen;Ermetzhofen;Awanst;;DE 12983;0080;7;20081214;;226928;J;N;
NERP;Erlau (b Passau);Erlau (b Passau);vp-Bf;;DE 12978;0080;7;20081214;;265306;J;N;
NERS;Erlangen Paul-Gossen-Straße;PaulGossenStraße;Bft;;DE 12975;0080;7;20150629;;854570;N;N;
